section,section_type,scenario,variant,year,slr_m,return_period_yr,closure_days_yr,annual_cost_mid_eur,annual_cost_low_eur,annual_cost_high_eur,cumulative_cost_mid_eur,cumulative_cost_low_eur,cumulative_cost_high_eur
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2047,0.181,1.14,5.9,5944664.0,2972332.0,10403161.0,79413753.0,39706876.0,138974068.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2047,0.331,0.4,20.5,20520304.0,10260152.0,35910531.0,278821772.0,139410886.0,487938101.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2048,0.187,1.09,6.3,6278022.0,3139011.0,10986539.0,85691775.0,42845887.0,149960606.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2048,0.337,0.39,21.6,21633986.0,10816993.0,37859476.0,300455758.0,150227879.0,525797577.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2049,0.194,1.05,6.6,6629481.0,3314740.0,11601591.0,92321256.0,46160628.0,161562198.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2049,0.344,0.37,22.8,22806736.0,11403368.0,39911788.0,323262494.0,161631247.0,565709364.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2050,0.2,1.0,7.0,7000000.0,3500000.0,12250000.0,99321256.0,49660628.0,173812198.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2050,0.35,0.35,24.0,24041631.0,12020815.0,42072853.0,347304125.0,173652062.0,607782218.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2051,0.204,0.97,7.2,7237921.0,3618961.0,12666362.0,106559177.0,53279589.0,186478560.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2051,0.354,0.34,24.8,24833851.0,12416925.0,43459239.0,372137975.0,186068988.0,651241456.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2052,0.208,0.95,7.5,7483688.0,3741844.0,13096454.0,114042865.0,57021432.0,199575013.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2052,0.358,0.33,25.7,25651613.0,12825807.0,44890323.0,397789588.0,198894794.0,696131779.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2053,0.212,0.92,7.7,7737552.0,3868776.0,13540716.0,121780417.0,60890209.0,213115730.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2053,0.362,0.33,26.5,26495728.0,13247864.0,46367524.0,424285316.0,212142658.0,742499304.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2054,0.216,0.9,8.0,7999776.0,3999888.0,13999608.0,129780193.0,64890096.0,227115338.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2054,0.366,0.32,27.4,27367031.0,13683516.0,47892304.0,451652347.0,225826174.0,790391608.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2055,0.22,0.87,8.3,8270628.0,4135314.0,14473599.0,138050821.0,69025411.0,241588937.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2055,0.37,0.31,28.3,28266383.0,14133192.0,49466171.0,479918731.0,239959365.0,839857779.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2056,0.224,0.85,8.6,8550387.0,4275193.0,14963177.0,146601208.0,73300604.0,256552114.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2056,0.374,0.3,29.2,29194674.0,14597337.0,51090679.0,509113404.0,254556702.0,890948458.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2057,0.228,0.82,8.8,8839339.0,4419669.0,15468843.0,155440547.0,77720273.0,272020957.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2057,0.378,0.29,30.2,30152818.0,15076409.0,52767432.0,539266223.0,269633111.0,943715889.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2058,0.232,0.8,9.1,9137780.0,4568890.0,15991114.0,164578326.0,82289163.0,288012071.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2058,0.382,0.28,31.1,31141762.0,15570881.0,54498083.0,570407984.0,285203992.0,998213972.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2059,0.236,0.78,9.4,9446015.0,4723007.0,16530526.0,174024341.0,87012170.0,304542597.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2059,0.386,0.28,32.2,32162479.0,16081239.0,56284338.0,602570463.0,301285232.0,1054498310.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2060,0.24,0.76,9.8,9764359.0,4882179.0,17087627.0,183788699.0,91894350.0,321630224.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2060,0.39,0.27,33.2,33215974.0,16607987.0,58127955.0,635786438.0,317893219.0,1112626266.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2061,0.244,0.74,10.1,10093136.0,5046568.0,17662988.0,193881836.0,96940918.0,339293212.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2061,0.394,0.26,34.3,34303285.0,17151642.0,60030749.0,670089723.0,335044861.0,1172657014.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2062,0.248,0.72,10.4,10432683.0,5216341.0,18257195.0,204314518.0,102157259.0,357550407.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2062,0.398,0.25,35.4,35425479.0,17712739.0,61994588.0,705515201.0,352757601.0,1234651602.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2063,0.252,0.7,10.8,10783343.0,5391672.0,18870851.0,215097862.0,107548931.0,376421258.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2063,0.402,0.25,36.6,36583658.0,18291829.0,64021402.0,742098859.0,371049430.0,1298673004.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2064,0.256,0.68,11.1,11145475.0,5572738.0,19504582.0,226243337.0,113121669.0,395925840.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2064,0.406,0.24,37.8,37778959.0,18889480.0,66113179.0,779877818.0,389938909.0,1364786182.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2065,0.26,0.66,11.5,11519446.0,5759723.0,20159030.0,237762783.0,118881391.0,416084870.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2065,0.41,0.23,39.0,39012554.0,19506277.0,68271970.0,818890373.0,409445186.0,1433058152.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2066,0.264,0.64,11.9,11905635.0,5952817.0,20834861.0,249668418.0,124834209.0,436919731.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2066,0.414,0.23,40.3,40285651.0,20142826.0,70499889.0,859176024.0,429588012.0,1503558041.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2067,0.268,0.62,12.3,12304433.0,6152217.0,21532758.0,261972851.0,130986426.0,458452489.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2067,0.418,0.22,41.6,41599496.0,20799748.0,72799118.0,900775520.0,450387760.0,1576357160.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2068,0.272,0.61,12.7,12716245.0,6358123.0,22253429.0,274689096.0,137344548.0,480705919.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2068,0.422,0.21,43.0,42955375.0,21477687.0,75171906.0,943730895.0,471865447.0,1651529065.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2069,0.276,0.59,13.1,13141487.0,6570744.0,22997603.0,287830584.0,143915292.0,503703521.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2069,0.426,0.21,44.4,44354611.0,22177306.0,77620570.0,988085506.0,494042753.0,1729149635.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2070,0.28,0.57,13.6,13580589.0,6790294.0,23766030.0,301411172.0,150705586.0,527469552.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2070,0.43,0.2,45.8,45798572.0,22899286.0,80147501.0,1033884078.0,516942039.0,1809297136.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2071,0.284,0.56,14.0,14033993.0,7016997.0,24559488.0,315445166.0,157722583.0,552029040.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2071,0.434,0.2,47.3,47288666.0,23644333.0,82755166.0,1081172744.0,540586372.0,1892052302.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2072,0.288,0.54,14.5,14502157.0,7251079.0,25378775.0,329947323.0,164973661.0,577407815.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2072,0.438,0.19,48.8,48826346.0,24413173.0,85446106.0,1129999091.0,564999545.0,1977498409.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2073,0.292,0.53,15.0,14985553.0,7492777.0,26224718.0,344932876.0,172466438.0,603632533.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2073,0.442,0.19,50.4,50413110.0,25206555.0,88222943.0,1180412201.0,590206100.0,2065721352.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2074,0.296,0.51,15.5,15484667.0,7742333.0,27098167.0,360417543.0,180208771.0,630730700.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2074,0.446,0.18,52.1,52050502.0,26025251.0,91088379.0,1232462703.0,616231352.0,2156809731.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2075,0.3,0.5,16.0,16000000.0,8000000.0,28000000.0,376417543.0,188208771.0,658730700.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2075,0.45,0.18,53.7,53740115.0,26870058.0,94045202.0,1286202819.0,643101409.0,2250854933.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2076,0.304,0.49,16.5,16532070.0,8266035.0,28931123.0,392949613.0,196474807.0,687661823.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2076,0.454,0.17,55.5,55483591.0,27741796.0,97096285.0,1341686410.0,670843205.0,2347951217.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2077,0.308,0.47,17.1,17081412.0,8540706.0,29892470.0,410031025.0,205015512.0,717554293.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2077,0.458,0.17,57.3,57282623.0,28641312.0,100244591.0,1398969033.0,699484517.0,2448195808.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2078,0.312,0.46,17.6,17648574.0,8824287.0,30885005.0,427679599.0,213839799.0,748439298.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2078,0.462,0.16,59.1,59138957.0,29569478.0,103493175.0,1458107990.0,729053995.0,2551688983.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2079,0.316,0.45,18.2,18234126.0,9117063.0,31909721.0,445913725.0,222956862.0,780349019.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2079,0.466,0.16,61.1,61054393.0,30527196.0,106845187.0,1519162383.0,759581191.0,2658534170.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2080,0.32,0.44,18.8,18838653.0,9419327.0,32967643.0,464752378.0,232376189.0,813316661.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2080,0.47,0.15,63.0,63030786.0,31515393.0,110303875.0,1582193169.0,791096584.0,2768838045.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2081,0.324,0.42,19.5,19462759.0,9731380.0,34059828.0,484215137.0,242107568.0,847376490.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2081,0.474,0.15,65.1,65070051.0,32535025.0,113872589.0,1647263219.0,823631610.0,2882710634.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2082,0.328,0.41,20.1,20107067.0,10053534.0,35187368.0,504322204.0,252161102.0,882563857.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2082,0.478,0.15,67.2,67174160.0,33587080.0,117554780.0,1714437379.0,857218690.0,3000265413.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2083,0.332,0.4,20.8,20772220.0,10386110.0,36351386.0,525094425.0,262547212.0,918915243.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2083,0.482,0.14,69.3,69345147.0,34672574.0,121354008.0,1783782527.0,891891263.0,3121619421.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2084,0.336,0.39,21.5,21458881.0,10729441.0,37553042.0,546553306.0,273276653.0,956468285.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2084,0.486,0.14,71.6,71585111.0,35792555.0,125273944.0,1855367637.0,927683819.0,3246893366.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2085,0.34,0.38,22.2,22167733.0,11083866.0,38793533.0,568721039.0,284360519.0,995261817.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2085,0.49,0.13,73.9,73896213.0,36948106.0,129318373.0,1929263850.0,964631925.0,3376211738.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2086,0.344,0.37,22.9,22899481.0,11449741.0,40074092.0,591620520.0,295810260.0,1035335909.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2086,0.494,0.13,76.3,76280683.0,38140341.0,133491195.0,2005544533.0,1002772267.0,3509702933.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2087,0.348,0.36,23.7,23654853.0,11827426.0,41395992.0,615275372.0,307637686.0,1076731901.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2087,0.498,0.13,78.7,78740819.0,39370410.0,137796433.0,2084285352.0,1042142676.0,3647499367.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2088,0.352,0.35,24.4,24434597.0,12217299.0,42760545.0,639709970.0,319854985.0,1119492447.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2088,0.502,0.12,81.3,81278992.0,40639496.0,142238236.0,2165564344.0,1082782172.0,3789737602.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2089,0.356,0.34,25.2,25239489.0,12619745.0,44169106.0,664949459.0,332474729.0,1163661552.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2089,0.506,0.12,83.9,83897644.0,41948822.0,146820878.0,2249461989.0,1124730994.0,3936558480.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2090,0.36,0.33,26.1,26070325.0,13035162.0,45623069.0,691019784.0,345509892.0,1209284621.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2090,0.51,0.12,86.6,86599296.0,43299648.0,151548768.0,2336061284.0,1168030642.0,4088107248.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2091,0.364,0.32,26.9,26927928.0,13463964.0,47123874.0,717947711.0,358973856.0,1256408495.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2091,0.514,0.11,89.4,89386543.0,44693271.0,156426450.0,2425447827.0,1212723914.0,4244533698.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2092,0.368,0.31,27.8,27813146.0,13906573.0,48673006.0,745760858.0,372880429.0,1305081501.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2092,0.518,0.11,92.3,92262064.0,46131032.0,161458611.0,2517709891.0,1258854946.0,4405992309.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2093,0.372,0.3,28.7,28726855.0,14363427.0,50271996.0,774487712.0,387243856.0,1355353496.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2093,0.522,0.11,95.2,95228618.0,47614309.0,166650082.0,2612938509.0,1306469255.0,4572642391.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2094,0.376,0.3,29.7,29669956.0,14834978.0,51922423.0,804157668.0,402078834.0,1407275919.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2094,0.526,0.1,98.3,98289052.0,49144526.0,172005841.0,2711227561.0,1355613781.0,4744648232.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2095,0.38,0.29,30.6,30643380.0,15321690.0,53625915.0,834801048.0,417400524.0,1460901834.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2095,0.53,0.1,101.4,101446300.0,50723150.0,177531024.0,2812673861.0,1406336930.0,4922179256.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2096,0.384,0.28,31.6,31648087.0,15824043.0,55384151.0,866449134.0,433224567.0,1516285985.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2096,0.534,0.1,104.7,104703385.0,52351693.0,183230925.0,2917377246.0,1458688623.0,5105410181.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2097,0.388,0.27,32.7,32685065.0,16342533.0,57198864.0,899134200.0,449567100.0,1573484849.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2097,0.538,0.1,108.1,108063428.0,54031714.0,189110998.0,3025440674.0,1512720337.0,5294521179.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2098,0.392,0.26,33.8,33755337.0,16877668.0,59071839.0,932889536.0,466444768.0,1632556689.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2098,0.542,0.09,111.5,111529641.0,55764820.0,195176872.0,3136970315.0,1568485157.0,5489698051.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2099,0.396,0.26,34.9,34859953.0,17429977.0,61004918.0,967749490.0,483874745.0,1693561607.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2099,0.546,0.09,115.1,115105339.0,57552670.0,201434344.0,3252075654.0,1626037827.0,5691132395.0
Mondego Valley (km 240–244),railway,SSP1-2.6,Baseline,2100,0.4,0.25,36.0,36000000.0,18000000.0,63000000.0,1003749490.0,501874745.0,1756561607.0
Mondego Valley (km 240–244),railway,SSP1-2.6,+Geoid,2100,0.55,0.09,118.8,118793939.0,59396970.0,207889394.0,3370869593.0,1685434797.0,5899021789.0
Mondego Valley (km 240–244),railway,SSP2-4.5,Baseline,2025,0.05,2.83,1.9,1944544.0,972272.0,3402951.0,1944544.0,972272.0,3402951.0
Mondego Valley (km 240–244),railway,SSP2-4.5,+Geoid,2025,0.2,1.0,7.0,7000000.0,3500000.0,12250000.0,7000000.0,3500000.0,12250000.0
Mondego Valley (km 240–244),railway,SSP2-4.5,Baseline,2026,0.06,2.64,2.1,2122003.0,1061002.0,3713506.0,4066547.0,2033273.0,7116457.0
Mondego Valley (km 240–244),railway,SSP2-4.5,+Geoid,2026,0.21,0.93,7.6,7609592.0,3804796.0,13316785.0,14609592.0,7304796.0,25566785.0
Mondego Valley (km 240–244),railway,SSP2-4.5,Baseline,2027,0.07,2.46,2.3,2314919.0,1157460.0,4051109.0,6381466.0,3190733.0,11167566.0
Mondego Valley (km 240–244),railway,SSP2-4.5,+Geoid,2027,0.22,0.87,8.3,8270628.0,4135314.0,14473599.0,22880220.0,11440110.0,40040385.0
Mondego Valley (km 240–244),railway,SSP2-4.5,Baseline,2028,0.08,2.3,2.5,2524597.0,1262298.0,4418044.0,8906063.0,4453031.0,15585610.0
Mondego Valley (km 240–244),railway,SSP2-4.5,+Geoid,2028,0.23,0.81,9.0,8987354.0,4493677.0,15727870.0,31867574.0,15933787.0,55768254.0
Mondego Valley (km 240–244),railway,SSP2-4.5,Baseline,2029,0.09,2.14,2.8,2752447.0,1376224.0,4816783.0,11658510.0,5829255.0,20402393.0
Mondego Valley (km 240–244),railway,SSP2-4.5,+Geoid,2029,0.24,0.76,9.8,9764359.0,4882179.0,17087627.0,41631932.0,20815966.0,72855882.0
Mondego Valley (km 240–244),railway,SSP2-4.5,Baseline,2030,0.1,2.0,3.0,3000000.0,1500000.0,5250000.0,14658510.0,7329255.0,25652393.0
Mondego Valley (km 240–244),railway,SSP2-4.5,+Geoid,2030,0.25,0.71,10.6,10606602.0,5303301.0,18561553.0,52238534.0,26119267.0,91417435.0
Mondego Valley (km 240–244),railway,SSP2-4.5,Baseline,2031,0.11,1.87,3.3,3268909.0,1634455.0,5720591.0,17927419.0,8963710.0,31372984.0
