scenario,year,variant,slr_m,nuts3,flooded_pixels,total_pixels,fraction_flooded,gdp_2022_eur,gdp_at_risk_eur
SSP1-2.6,2030,baseline,0.07,Alentejo Central,0,594710,0.0,2958516000.0,0.0
SSP1-2.6,2030,baseline,0.07,Alentejo Litoral,154,441094,0.00034913,3133737000.0,1094087.65
SSP1-2.6,2030,baseline,0.07,Algarve,105,411031,0.00025546,11984171000.0,3061418.62
SSP1-2.6,2030,baseline,0.07,Alto Alentejo,0,428045,0.0,1798575000.0,0.0
SSP1-2.6,2030,baseline,0.07,Alto Minho,2,194924,1.026e-05,4151610000.0,42597.22
SSP1-2.6,2030,baseline,0.07,Alto Tâmega e Barroso,0,233032,0.0,1241947000.0,0.0
SSP1-2.6,2030,baseline,0.07,Ave,0,126782,0.0,8045336000.0,0.0
SSP1-2.6,2030,baseline,0.07,Baixo Alentejo,0,650296,0.0,2588500000.0,0.0
SSP1-2.6,2030,baseline,0.07,Beira Baixa,0,276956,0.0,1869355000.0,0.0
SSP1-2.6,2030,baseline,0.07,Beiras e Serra da Estrela,0,264614,0.0,3339166000.0,0.0
SSP1-2.6,2030,baseline,0.07,Cávado,0,109018,0.0,8421876000.0,0.0
SSP1-2.6,2030,baseline,0.07,Douro,0,240914,0.0,3054160000.0,0.0
SSP1-2.6,2030,baseline,0.07,Grande Lisboa,145,116836,0.00124106,75526356000.0,93732425.11
SSP1-2.6,2030,baseline,0.07,Lezíria do Tejo,15,360615,4.16e-05,4573917000.0,190254.86
SSP1-2.6,2030,baseline,0.07,Médio Tejo,0,229750,0.0,3853435000.0,0.0
SSP1-2.6,2030,baseline,0.07,Oeste,3,187694,1.598e-05,6490912000.0,103747.25
SSP1-2.6,2030,baseline,0.07,Península de Setúbal,44,136157,0.00032316,13176454000.0,4258054.86
SSP1-2.6,2030,baseline,0.07,Região de Aveiro,234,145936,0.00160344,8691000000.0,13935519.68
SSP1-2.6,2030,baseline,0.07,Região de Coimbra,214,371551,0.00057596,9133907000.0,5260801.61
SSP1-2.6,2030,baseline,0.07,Região de Leiria,0,208682,0.0,6490351000.0,0.0
SSP1-2.6,2030,baseline,0.07,Terras de Trás-os-Montes,0,5591,0.0,1790127000.0,0.0
SSP1-2.6,2030,baseline,0.07,Tâmega e Sousa,0,159228,0.0,6047036000.0,0.0
SSP1-2.6,2030,baseline,0.07,Viseu Dão Lafões,0,279442,0.0,4590096000.0,0.0
SSP1-2.6,2030,baseline,0.07,Área Metropolitana do Porto,0,177181,0.0,39710799000.0,0.0
SSP1-2.6,2030,geoid_offset,0.22,Alentejo Central,0,594710,0.0,2958516000.0,0.0
SSP1-2.6,2030,geoid_offset,0.22,Alentejo Litoral,505,441094,0.00114488,3133737000.0,3587754.96
SSP1-2.6,2030,geoid_offset,0.22,Algarve,405,411031,0.00098533,11984171000.0,11808328.95
SSP1-2.6,2030,geoid_offset,0.22,Alto Alentejo,0,428045,0.0,1798575000.0,0.0
SSP1-2.6,2030,geoid_offset,0.22,Alto Minho,14,194924,7.182e-05,4151610000.0,298180.52
SSP1-2.6,2030,geoid_offset,0.22,Alto Tâmega e Barroso,0,233032,0.0,1241947000.0,0.0
