option,option_id,cost_scenario,bypass_cost_meur,scenario,variant,key_year,slr_m,events_per_year,closure_days_yr,annual_cost_mid_eur,annual_cost_low_eur,annual_cost_high_eur,breakeven_year_mid,breakeven_year_low,breakeven_year_high,section,section_type,cost_low_eur,cost_mid_eur,cost_high_eur,be_year_low_capex_mid_ddr,be_year_mid_capex_mid_ddr,be_year_high_capex_mid_ddr,be_year_mid_capex_low_ddr,be_year_mid_capex_high_ddr,option_name,capex_low_M,capex_high_M,cum_no_adapt_bn,cum_adapt_bn,savings_bn,be_year_low_capex,be_year_mid_capex,be_year_hi_capex,option_type,port,be_year_low,be_year_mid,be_year_high
Option 1: In-situ viaduct (3–5km),OPT1,base,120,SSP1-2.6,Baseline,2030,0.07,0.406,2.3,2314919.0,1157460.0,4051109.0,2053,2066,2046,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,base,120,SSP1-2.6,Baseline,2050,0.2,1.0,7.0,7000000.0,3500000.0,12250000.0,2053,2066,2046,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,base,120,SSP1-2.6,Baseline,2075,0.3,2.0,16.0,16000000.0,8000000.0,28000000.0,2053,2066,2046,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,base,120,SSP1-2.6,Baseline,2100,0.4,4.0,36.0,36000000.0,18000000.0,63000000.0,2053,2066,2046,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,base,120,SSP1-2.6,+Geoid,2030,0.22,1.149,8.3,8270628.0,4135314.0,14473599.0,2038,2046,2033,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,base,120,SSP1-2.6,+Geoid,2050,0.35,2.828,24.0,24041631.0,12020815.0,42072853.0,2038,2046,2033,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,base,120,SSP1-2.6,+Geoid,2075,0.45,5.657,53.7,53740115.0,26870058.0,94045202.0,2038,2046,2033,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,base,120,SSP1-2.6,+Geoid,2100,0.55,11.314,118.8,118793939.0,59396970.0,207889394.0,2038,2046,2033,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,base,120,SSP2-4.5,Baseline,2030,0.1,0.5,3.0,3000000.0,1500000.0,5250000.0,2046,2054,2041,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,base,120,SSP2-4.5,Baseline,2050,0.3,2.0,16.0,16000000.0,8000000.0,28000000.0,2046,2054,2041,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,base,120,SSP2-4.5,Baseline,2075,0.45,5.657,53.7,53740115.0,26870058.0,94045202.0,2046,2054,2041,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,base,120,SSP2-4.5,Baseline,2100,0.6,16.0,176.0,176000000.0,88000000.0,308000000.0,2046,2054,2041,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,base,120,SSP2-4.5,+Geoid,2030,0.25,1.414,10.6,10606602.0,5303301.0,18561553.0,2035,2041,2032,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,base,120,SSP2-4.5,+Geoid,2050,0.45,5.657,53.7,53740115.0,26870058.0,94045202.0,2035,2041,2032,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,base,120,SSP2-4.5,+Geoid,2075,0.6,16.0,176.0,176000000.0,88000000.0,308000000.0,2035,2041,2032,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,base,120,SSP2-4.5,+Geoid,2100,0.75,45.255,565.7,365000000.0,182500000.0,638750000.0,2035,2041,2032,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,base,120,SSP5-8.5,Baseline,2030,0.13,0.616,3.9,3878105.0,1939052.0,6786684.0,2042,2048,2038,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,base,120,SSP5-8.5,Baseline,2050,0.4,4.0,36.0,36000000.0,18000000.0,63000000.0,2042,2048,2038,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,base,120,SSP5-8.5,Baseline,2075,0.7,32.0,384.0,365000000.0,182500000.0,638750000.0,2042,2048,2038,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,base,120,SSP5-8.5,Baseline,2100,1.0,256.0,3840.0,365000000.0,182500000.0,638750000.0,2042,2048,2038,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,base,120,SSP5-8.5,+Geoid,2030,0.28,1.741,13.6,13580589.0,6790294.0,23766030.0,2034,2038,2031,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,base,120,SSP5-8.5,+Geoid,2050,0.55,11.314,118.8,118793939.0,59396970.0,207889394.0,2034,2038,2031,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,base,120,SSP5-8.5,+Geoid,2075,0.85,90.51,1221.9,365000000.0,182500000.0,638750000.0,2034,2038,2031,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,base,120,SSP5-8.5,+Geoid,2100,1.15,724.077,11947.3,365000000.0,182500000.0,638750000.0,2034,2038,2031,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,high,155,SSP1-2.6,Baseline,2030,0.07,0.406,2.3,2314919.0,1157460.0,4051109.0,2057,2071,2049,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,high,155,SSP1-2.6,Baseline,2050,0.2,1.0,7.0,7000000.0,3500000.0,12250000.0,2057,2071,2049,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,high,155,SSP1-2.6,Baseline,2075,0.3,2.0,16.0,16000000.0,8000000.0,28000000.0,2057,2071,2049,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,high,155,SSP1-2.6,Baseline,2100,0.4,4.0,36.0,36000000.0,18000000.0,63000000.0,2057,2071,2049,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,high,155,SSP1-2.6,+Geoid,2030,0.22,1.149,8.3,8270628.0,4135314.0,14473599.0,2040,2049,2035,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,high,155,SSP1-2.6,+Geoid,2050,0.35,2.828,24.0,24041631.0,12020815.0,42072853.0,2040,2049,2035,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,high,155,SSP1-2.6,+Geoid,2075,0.45,5.657,53.7,53740115.0,26870058.0,94045202.0,2040,2049,2035,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,high,155,SSP1-2.6,+Geoid,2100,0.55,11.314,118.8,118793939.0,59396970.0,207889394.0,2040,2049,2035,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,high,155,SSP2-4.5,Baseline,2030,0.1,0.5,3.0,3000000.0,1500000.0,5250000.0,2049,2057,2043,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,high,155,SSP2-4.5,Baseline,2050,0.3,2.0,16.0,16000000.0,8000000.0,28000000.0,2049,2057,2043,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,high,155,SSP2-4.5,Baseline,2075,0.45,5.657,53.7,53740115.0,26870058.0,94045202.0,2049,2057,2043,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,high,155,SSP2-4.5,Baseline,2100,0.6,16.0,176.0,176000000.0,88000000.0,308000000.0,2049,2057,2043,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,high,155,SSP2-4.5,+Geoid,2030,0.25,1.414,10.6,10606602.0,5303301.0,18561553.0,2037,2044,2033,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,high,155,SSP2-4.5,+Geoid,2050,0.45,5.657,53.7,53740115.0,26870058.0,94045202.0,2037,2044,2033,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,high,155,SSP2-4.5,+Geoid,2075,0.6,16.0,176.0,176000000.0,88000000.0,308000000.0,2037,2044,2033,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,high,155,SSP2-4.5,+Geoid,2100,0.75,45.255,565.7,365000000.0,182500000.0,638750000.0,2037,2044,2033,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,high,155,SSP5-8.5,Baseline,2030,0.13,0.616,3.9,3878105.0,1939052.0,6786684.0,2044,2050,2040,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,high,155,SSP5-8.5,Baseline,2050,0.4,4.0,36.0,36000000.0,18000000.0,63000000.0,2044,2050,2040,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,high,155,SSP5-8.5,Baseline,2075,0.7,32.0,384.0,365000000.0,182500000.0,638750000.0,2044,2050,2040,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,high,155,SSP5-8.5,Baseline,2100,1.0,256.0,3840.0,365000000.0,182500000.0,638750000.0,2044,2050,2040,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,high,155,SSP5-8.5,+Geoid,2030,0.28,1.741,13.6,13580589.0,6790294.0,23766030.0,2035,2040,2032,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,high,155,SSP5-8.5,+Geoid,2050,0.55,11.314,118.8,118793939.0,59396970.0,207889394.0,2035,2040,2032,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,high,155,SSP5-8.5,+Geoid,2075,0.85,90.51,1221.9,365000000.0,182500000.0,638750000.0,2035,2040,2032,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 1: In-situ viaduct (3–5km),OPT1,high,155,SSP5-8.5,+Geoid,2100,1.15,724.077,11947.3,365000000.0,182500000.0,638750000.0,2035,2040,2032,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,low,124,SSP1-2.6,Baseline,2030,0.07,0.406,2.3,2314919.0,1157460.0,4051109.0,2054,2066,2046,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,low,124,SSP1-2.6,Baseline,2050,0.2,1.0,7.0,7000000.0,3500000.0,12250000.0,2054,2066,2046,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,low,124,SSP1-2.6,Baseline,2075,0.3,2.0,16.0,16000000.0,8000000.0,28000000.0,2054,2066,2046,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,low,124,SSP1-2.6,Baseline,2100,0.4,4.0,36.0,36000000.0,18000000.0,63000000.0,2054,2066,2046,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,low,124,SSP1-2.6,+Geoid,2030,0.22,1.149,8.3,8270628.0,4135314.0,14473599.0,2038,2046,2034,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,low,124,SSP1-2.6,+Geoid,2050,0.35,2.828,24.0,24041631.0,12020815.0,42072853.0,2038,2046,2034,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,low,124,SSP1-2.6,+Geoid,2075,0.45,5.657,53.7,53740115.0,26870058.0,94045202.0,2038,2046,2034,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,low,124,SSP1-2.6,+Geoid,2100,0.55,11.314,118.8,118793939.0,59396970.0,207889394.0,2038,2046,2034,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,low,124,SSP2-4.5,Baseline,2030,0.1,0.5,3.0,3000000.0,1500000.0,5250000.0,2047,2054,2041,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,low,124,SSP2-4.5,Baseline,2050,0.3,2.0,16.0,16000000.0,8000000.0,28000000.0,2047,2054,2041,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,low,124,SSP2-4.5,Baseline,2075,0.45,5.657,53.7,53740115.0,26870058.0,94045202.0,2047,2054,2041,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,low,124,SSP2-4.5,Baseline,2100,0.6,16.0,176.0,176000000.0,88000000.0,308000000.0,2047,2054,2041,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,low,124,SSP2-4.5,+Geoid,2030,0.25,1.414,10.6,10606602.0,5303301.0,18561553.0,2036,2041,2032,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,low,124,SSP2-4.5,+Geoid,2050,0.45,5.657,53.7,53740115.0,26870058.0,94045202.0,2036,2041,2032,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,low,124,SSP2-4.5,+Geoid,2075,0.6,16.0,176.0,176000000.0,88000000.0,308000000.0,2036,2041,2032,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,low,124,SSP2-4.5,+Geoid,2100,0.75,45.255,565.7,365000000.0,182500000.0,638750000.0,2036,2041,2032,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,low,124,SSP5-8.5,Baseline,2030,0.13,0.616,3.9,3878105.0,1939052.0,6786684.0,2043,2048,2038,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,low,124,SSP5-8.5,Baseline,2050,0.4,4.0,36.0,36000000.0,18000000.0,63000000.0,2043,2048,2038,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,low,124,SSP5-8.5,Baseline,2075,0.7,32.0,384.0,365000000.0,182500000.0,638750000.0,2043,2048,2038,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,low,124,SSP5-8.5,Baseline,2100,1.0,256.0,3840.0,365000000.0,182500000.0,638750000.0,2043,2048,2038,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,low,124,SSP5-8.5,+Geoid,2030,0.28,1.741,13.6,13580589.0,6790294.0,23766030.0,2034,2039,2031,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,low,124,SSP5-8.5,+Geoid,2050,0.55,11.314,118.8,118793939.0,59396970.0,207889394.0,2034,2039,2031,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,low,124,SSP5-8.5,+Geoid,2075,0.85,90.51,1221.9,365000000.0,182500000.0,638750000.0,2034,2039,2031,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,low,124,SSP5-8.5,+Geoid,2100,1.15,724.077,11947.3,365000000.0,182500000.0,638750000.0,2034,2039,2031,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,base,176,SSP1-2.6,Baseline,2030,0.07,0.406,2.3,2314919.0,1157460.0,4051109.0,2060,2074,2051,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,base,176,SSP1-2.6,Baseline,2050,0.2,1.0,7.0,7000000.0,3500000.0,12250000.0,2060,2074,2051,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,base,176,SSP1-2.6,Baseline,2075,0.3,2.0,16.0,16000000.0,8000000.0,28000000.0,2060,2074,2051,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,base,176,SSP1-2.6,Baseline,2100,0.4,4.0,36.0,36000000.0,18000000.0,63000000.0,2060,2074,2051,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,base,176,SSP1-2.6,+Geoid,2030,0.22,1.149,8.3,8270628.0,4135314.0,14473599.0,2042,2051,2036,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,base,176,SSP1-2.6,+Geoid,2050,0.35,2.828,24.0,24041631.0,12020815.0,42072853.0,2042,2051,2036,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,base,176,SSP1-2.6,+Geoid,2075,0.45,5.657,53.7,53740115.0,26870058.0,94045202.0,2042,2051,2036,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,base,176,SSP1-2.6,+Geoid,2100,0.55,11.314,118.8,118793939.0,59396970.0,207889394.0,2042,2051,2036,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,base,176,SSP2-4.5,Baseline,2030,0.1,0.5,3.0,3000000.0,1500000.0,5250000.0,2050,2059,2045,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,base,176,SSP2-4.5,Baseline,2050,0.3,2.0,16.0,16000000.0,8000000.0,28000000.0,2050,2059,2045,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,base,176,SSP2-4.5,Baseline,2075,0.45,5.657,53.7,53740115.0,26870058.0,94045202.0,2050,2059,2045,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,base,176,SSP2-4.5,Baseline,2100,0.6,16.0,176.0,176000000.0,88000000.0,308000000.0,2050,2059,2045,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,base,176,SSP2-4.5,+Geoid,2030,0.25,1.414,10.6,10606602.0,5303301.0,18561553.0,2038,2045,2034,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,base,176,SSP2-4.5,+Geoid,2050,0.45,5.657,53.7,53740115.0,26870058.0,94045202.0,2038,2045,2034,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,base,176,SSP2-4.5,+Geoid,2075,0.6,16.0,176.0,176000000.0,88000000.0,308000000.0,2038,2045,2034,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
Option 2: Junction relocation to Soure (~11km),OPT2,base,176,SSP2-4.5,+Geoid,2100,0.75,45.255,565.7,365000000.0,182500000.0,638750000.0,2038,2045,2034,Mondego (railway),Railway,,,,,,,,,,,,,,,,,,,,,,
