scenario,variant,option,year,slr_m,closure_days_yr,annual_cost_low_M,annual_cost_mid_M,annual_cost_hi_M,cum_cost_low_bn,cum_cost_mid_bn,cum_cost_hi_bn
SSP1-2.6,baseline,A,2078,0.312,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2079,0.316,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2080,0.32,0.0005,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2081,0.324,0.0005,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2082,0.328,0.0005,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2083,0.332,0.0005,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2084,0.336,0.0005,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2085,0.34,0.0005,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2086,0.344,0.0005,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2087,0.348,0.0006,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2088,0.352,0.0006,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2089,0.356,0.0006,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2090,0.36,0.0006,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2091,0.364,0.0006,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2092,0.368,0.0007,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2093,0.372,0.0007,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2094,0.376,0.0007,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2095,0.38,0.0007,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2096,0.384,0.0008,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2097,0.388,0.0008,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2098,0.392,0.0008,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2099,0.396,0.0008,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2100,0.4,0.0009,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2025,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2026,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2027,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2028,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2029,0.063,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2030,0.07,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2031,0.076,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2032,0.082,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2033,0.088,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2034,0.094,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2035,0.1,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2036,0.106,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2037,0.112,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2038,0.118,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2039,0.124,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2040,0.13,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2041,0.137,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2042,0.144,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2043,0.151,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2044,0.158,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2045,0.165,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2046,0.172,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2047,0.179,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2048,0.186,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2049,0.193,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2050,0.2,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2051,0.204,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2052,0.208,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2053,0.212,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2054,0.216,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2055,0.22,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2056,0.224,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2057,0.228,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2058,0.232,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2059,0.236,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2060,0.24,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2061,0.244,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2062,0.248,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2063,0.252,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2064,0.256,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2065,0.26,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2066,0.264,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2067,0.268,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2068,0.272,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2069,0.276,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2070,0.28,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2071,0.284,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2072,0.288,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2073,0.292,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2074,0.296,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2075,0.3,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2076,0.304,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2077,0.308,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2078,0.312,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2079,0.316,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2080,0.32,0.0005,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2081,0.324,0.0005,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2082,0.328,0.0005,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2083,0.332,0.0005,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2084,0.336,0.0005,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2085,0.34,0.0005,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2086,0.344,0.0005,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2087,0.348,0.0006,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2088,0.352,0.0006,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2089,0.356,0.0006,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2090,0.36,0.0006,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2091,0.364,0.0006,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,B,2092,0.368,0.0007,0.0,0.0,0.0,0.0,0.0,0.0
